occupantID,0,0.05,0.07,0.08,0.2,0.3,0.4,1,2,2.1,3,3.1,3.2,3.3,3.4,4,4.1,5,6,7,8,9,10,11,12,13,14,14.1,14.2,14.3,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,project_id,city,state,season,building_id,work_group_id,work_group_nm,Space_id,View,C_O,P_I_C,build_name
930,,,,,,,,7,7,,7,,,,,7,,4,4,4,7,4,7,7,7,7,7,,,,4,1,4,7,4,7,0,4,1,3,2,7,7,4,7,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_10,1,O,I,DOJ
931,,,,,,,,5,2,,2,,,,,2,,3,5,,2,4,5,4,4,4,4,,,,4,1,2,4,2,5,0,3,1,2,1,4,5,4,2,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_05,1,O,P,DOJ
932,,,,,,,,4,4,,2,,,,,5,,2,2,2,4,2,6,5,4,5,3,,,,2,1,4,4,2,3,0,,1,3,3,5,5,3,3,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_08,1,O,I,DOJ
933,,,,,,,,3,,,2,,,,,5,,2,2,2,2,3,3,5,5,5,3,,,,2,2,2,3,2,2,0,3,1,1,2,5,6,4,3,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_09,1,O,I,DOJ
934,,,,,,,,4,4,,3,,,,,6,,2,2,1,1,1,2,2,2,2,2,,,,2,1,2,2,2,2,0,2,1,1,3,2,2,3,3,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_04,1,O,P,DOJ
935,,,,,,,,5,5,,5,,,,,4,,2,4,2,6,6,6,4,4,4,4,,,,6,6,6,4,6,4,0,4,1,4,2,7,6,4,4,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_03,1,O,P,DOJ
936,,,,,,,,1,3,,4,,,,,3,,1,5,1,5,1,1,5,3,3,1,,,,1,1,1,1,1,4,0,3,1,1,2,4,4,2,2,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_04,1,O,I,DOJ
937,,,,,,,,4,6,,3,,,,,4,,2,3,2,4,3,5,4,4,3,4,,,,3,1,2,5,3,3,0,1,2,3,4,5,5,4,3,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_02,1,O,P,DOJ
938,,,,,,,,3,3,,2,,,,,3,,1,1,2,1,1,3,4,4,2,2,,,,1,1,1,3,2,1,0,4,1,1,1,2,2,2,3,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_03,1,O,I,DOJ
939,,,,,,,,7,7,,1,,,,,4,,1,1,1,4,1,4,4,4,4,1,,,,2,1,1,4,1,,0,4,1,3,3,7,7,4,4,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_01,1,O,P,DOJ
940,,,,,,,,5,3,,3,,,,,4,,3,5,2,4,3,4,4,5,5,2,,,,3,2,4,4,3,4,0,1,2,1,4,5,5,4,4,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_01,1,O,I,DOJ
941,,,,,,,,3,1,,1,,,,,4,,1,1,1,5,1,4,4,4,4,1,,,,1,1,1,4,1,1,0,4,1,1,4,1,1,1,4,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OI_02,1,O,I,DOJ
942,,,,,,,,3,5,,3,,,,,7,,4,4,3,7,4,5,5,5,5,5,,,,4,7,7,4,3,7,0,3,1,4,4,,,,6,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_CP_01,1,C,P,DOJ
943,,,,,,,,7,7,,7,,,,,7,,7,7,7,7,7,7,7,7,7,7,,,,6,7,7,7,7,7,0,4,2,1,4,7,7,7,7,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_CP_02,1,C,P,DOJ
944,,,,,,,,5,5,,5,,,,,5,,3,,4,6,4,5,5,5,3,3,,,,4,6,5,6,4,4,0,2,2,3,,7,7,5,5,0,200507_DOJ_DEN,Denver,CO,C,0507_DOJ_01,0507_DOJ_01_01,DOJ_first floor,0507_DOJ_01_01_OP_06,1,O,P,DOJ
1032,,,,,,,,4,6,,6,,,,,6,,3,5,3,6,5,6,6,4,4,6,,,,5,1,3,3,4,5,0,3,1,1,4,6,5,5,6,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_02,0501_NPS_02_01,NPS P&R_1st Floor,0501_NPS_02_01_CP_01,1,C,P,NPS_P
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_02,0501_NPS_02_01,NPS P&R_1st Floor,0501_NPS_02_01_CP_02,1,C,P,NPS_P
1034,,,,,,,,6,6,,6,,,,,7,,2,2,2,6,6,6,3,3,4,5,,,,4,5,3,6,2,2,0,2,1,1,2,7,6,4,5,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_02,0501_NPS_02_01,NPS P&R_1st Floor,0501_NPS_02_01_OP_01,1,O,P,NPS_P
1035,,,,,,,,1,4,,5,,,,,4,,4,1,6,5,5,2,2,2,2,4,,,,4,2,2,4,4,4,0,3,2,3,4,7,7,5,5,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_02,0501_NPS_02_01,NPS P&R_1st Floor,0501_NPS_02_01_CP_03,1,C,P,NPS_P
1036,,,,,,,,4,6,,3,,,,,5,,1,1,1,2,3,4,3,3,4,3,,,,1,7,1,7,4,6,0,2,2,2,4,7,7,5,5,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_02,0501_NPS_02_01,NPS P&R_1st Floor,0501_NPS_02_01_OP_02,1,O,P,NPS_P
1038,,,,,,,,3,2,,2,,,,,2,,4,4,1,4,5,2,2,2,2,2,,,,4,6,6,2,2,7,0,3,2,4,3,5,5,1,1,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_01,0501_NPS_01_01,NPS Moose_1st floor,0501_NPS_01_01_CP_01,1,C,P,NPS_M
1039,,,,,,,,1,2,,2,,,,,4,,1,1,,2,1,7,5,5,4,1,,,,1,1,3,6,1,1,0,4,2,3,4,3,3,2,1,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_01,0501_NPS_01_01,NPS Moose_1st floor,0501_NPS_01_01_CI_01,,C,I,NPS_M
1040,,,,,,,,3,2,,2,,,,,4,,1,2,1,2,2,2,2,2,1,1,,,,1,1,1,2,2,1,0,4,2,2,3,6,5,1,2,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_01,0501_NPS_01_01,NPS Moose_1st floor,0501_NPS_01_01_OI_01,,O,I,NPS_M
1042,,,,,,,,6,4,,4,,,,,4,,4,4,3,3,4,6,5,5,5,4,,,,4,5,5,5,5,5,0,3,1,1,1,6,5,4,4,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_01,0501_NPS_01_01,NPS Moose_1st floor,0501_NPS_01_01_CP_02,1,C,P,NPS_M
